date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:09:16	26937/26937	---M-Z	200	added ('OK')	text/html	etag:%222844426fa9eeacfef2795da08f6711a8-ssl-df%22	https://www.nyolings.io/	/Users/oneilbenjamin/websites/nyyoo/index-2.html	(from )
11:09:16	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1660753174-ssl-df	https://www.nyolings.io/robots.txt		(from )
11:09:18	7772/7772	---MCZ	200	added ('OK')	text/css	etag:%229a79a10d8c96949af80af92612287531-ssl-df%22	https://www.nyolings.io/css/normalize.css	/Users/oneilbenjamin/websites/nyyoo/css/normalize.css	(from https://www.nyolings.io/)
11:09:20	39585/39585	---MCZ	200	added ('OK')	text/css	etag:%220c863c50ce41122aedcfd5fc1859bc6b-ssl-df%22	https://www.nyolings.io/css/webflow.css	/Users/oneilbenjamin/websites/nyyoo/css/webflow.css	(from https://www.nyolings.io/)
11:09:22	29741/29741	---MCZ	200	added ('OK')	text/css	etag:%225dc7537bd61f1b50e3c5de942f8cbf40-ssl-df%22	https://www.nyolings.io/css/nyolings.webflow.css	/Users/oneilbenjamin/websites/nyyoo/css/nyolings.webflow.css	(from https://www.nyolings.io/)
11:09:24	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	/Users/oneilbenjamin/websites/nyyoo/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.nyolings.io/)
11:09:24	2000/2000	---M--	200	added ('OK')	image/png	etag:%22444ed8110a614ade9bad1cc9ae8dcb0c-ssl%22	https://www.nyolings.io/images/favicon.png	/Users/oneilbenjamin/websites/nyyoo/images/favicon.png	(from https://www.nyolings.io/)
11:09:28	22564/22564	---M--	200	added ('OK')	image/png	etag:%222a1a7c100390b78e86ae39d86d37d122-ssl%22	https://www.nyolings.io/images/webclip.png	/Users/oneilbenjamin/websites/nyyoo/images/webclip.png	(from https://www.nyolings.io/)
11:09:30	244473/244473	---M--	200	added ('OK')	image/png	etag:%2241785d34aae4aee0fe7c9804d5338e5e-ssl%22	https://www.nyolings.io/images/LIGHT-min.png	/Users/oneilbenjamin/websites/nyyoo/images/LIGHT-min.png	(from https://www.nyolings.io/)
11:09:32	50783/50783	---M--	200	added ('OK')	image/png	etag:%22ff3d700c00382891aa0c0100005837a7-ssl%22	https://www.nyolings.io/images/Icon_26.png	/Users/oneilbenjamin/websites/nyyoo/images/Icon_26.png	(from https://www.nyolings.io/)
11:09:34	11480/11480	---M--	200	added ('OK')	image/png	etag:%228a6de5b535b084579941b68f845e1202-ssl%22	https://www.nyolings.io/images/Icon_27.png	/Users/oneilbenjamin/websites/nyyoo/images/Icon_27.png	(from https://www.nyolings.io/)
11:09:36	44380/44380	---M--	200	added ('OK')	image/png	etag:%224675865b7a566a28cdf5b1070bf44af2-ssl%22	https://www.nyolings.io/images/Icon_34-min.png	/Users/oneilbenjamin/websites/nyyoo/images/Icon_34-min.png	(from https://www.nyolings.io/)
11:09:38	66890/66890	---M--	200	added ('OK')	image/png	etag:%22b7ec547a64e29e3465207c484b276c35-ssl%22	https://www.nyolings.io/images/Icon_37-min.png	/Users/oneilbenjamin/websites/nyyoo/images/Icon_37-min.png	(from https://www.nyolings.io/)
11:09:40	45465/45465	---M--	200	added ('OK')	image/png	etag:%225a9047f46469154928616cf233e2e0af-ssl%22	https://www.nyolings.io/images/Icon_38-min.png	/Users/oneilbenjamin/websites/nyyoo/images/Icon_38-min.png	(from https://www.nyolings.io/)
11:09:42	37290/37290	---M--	200	added ('OK')	image/png	etag:%228aafd816b02cbd26a0adfeac97daa367-ssl%22	https://www.nyolings.io/images/Icon_25.png	/Users/oneilbenjamin/websites/nyyoo/images/Icon_25.png	(from https://www.nyolings.io/)
11:09:44	28620/28620	---M--	200	added ('OK')	image/png	etag:%22854164a40b8d37d44c31768a27064c15-ssl%22	https://www.nyolings.io/images/Icon_24.png	/Users/oneilbenjamin/websites/nyyoo/images/Icon_24.png	(from https://www.nyolings.io/)
11:09:46	20049/20049	---M--	200	added ('OK')	image/png	etag:%2284b0e08a6c41066ee722d9adfafe9b58-ssl%22	https://www.nyolings.io/images/Icon_11-min.png	/Users/oneilbenjamin/websites/nyyoo/images/Icon_11-min.png	(from https://www.nyolings.io/)
11:09:48	87909/87909	---M--	200	added ('OK')	image/png	etag:%2282f5729bafcfdc7c15df34ac2bfaa2c9-ssl%22	https://www.nyolings.io/images/Home-min.png	/Users/oneilbenjamin/websites/nyyoo/images/Home-min.png	(from https://www.nyolings.io/)
